;date;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;temp_dailyMean;temp_dailyMax;temp_dailyMin;hum_7h;hum_14h;hum_19h;windBeauf_7h;windBeauf_14h;windBeauf_19h;precip
0;2015-01-01;10;10;10;-3.2;2.5;3.5;-0.3;3.6;-4.2;85;93;85;1;4;3;0.1
1;2015-02-01;6;9;10;1.3;9.0;;4.7;9.2;0.2;95;48;89;2;5;4;4.1
2;2015-03-01;6;10;10;4.5;5.9;3.1;4.7;6.3;3.1;66;53;86;4;3;2;13.8
3;2015-04-01;7;8;9;2.5;4.5;2.9;2.6;4.7;0.4;90;60;81;5;4;4;0.3
4;2015-05-01;8;10;10;2.2;1.6;40.0;2.1;3.2;1.0;70;95;98;4;4;4;13
5;2015-06-01;4;2;0;1.3;2.9;-1.7;0.8;3.4;-1.8;85;62;81;3;2;2;0
6;2015-07-01;9;10;10;-2.9;-1.4;-2.9;-2.5;-1.1;-3.9;69;74;97;2;2;2;1.5
7;2015-08-01;10;10;10;-3.5;-1.6;-1.0;-2.4;-0.9;-3.9;94;90;91;2;2;2;0.1
8;2015-09-01;6;10;8;4.4;;9.0;5.2;11.3;-1.0;71;61;74;2;4;5;5.3
9;2015-10-01;10;6;9;10.6;17.6;16.2;13.1;17.7;8.5;96;50;51;3;6;4;3.9
10;2015-11-01;10;10;4;6.2;4.9;4.2;10.1;16.3;3.9;89;65;58;3;4;4;6.2
11;2015-12-01;9;9;9;4.4;7.2;6.5;5.3;7.5;3.0;74;56;54;4;4;2;Spuren
12;2015-01-13;9;4;2;3.2;11.0;2.5;6.4;11.2;1.5;54;40;85;2;2;1;0
13;2015-01-14;2;7;10;0.2;5.5;5.1;3.6;7.3;-0.2;97;76;88;2;1;3;1.2
14;2015-01-15;4;8;5;40.0;6.1;4.0;3.3;6.5;0.1;88;63;88;2;3;2;0
15;2015-01-16;10;9;6;3.3;4.8;2.3;3.8;5.2;2.3;96;85;94;2;1;1;0
16;2015-01-17;9;10;10;3.3;7.0;4.7;4.3;7.1;1.4;97;73;95;0;2;3;0.6
17;2015-01-18;9;6;9;3.8;5.2;3.7;4.7;6.0;3.4;86;75;85;1;2;2;0
18;2015-01-19;10;9;10;2.2;3.8;3.2;3.0;3.9;2.1;92;84;89;2;1;1;0
19;2015-01-20;10;10;9;2.6;4.0;3.3;3.1;4.4;1.8;97;85;81;3;2;2;0
