;date;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;temp_dailyMean;temp_dailyMax;temp_dailyMin;hum_7h;hum_14h;hum_19h;windBeauf_7h;windBeauf_14h;windBeauf_19h;precip
0;2018-01-01;10;10;8;2.5;8.9;6.6;5.8;9.2;2.3;96;62;68;1;4;1;Spuren
1;2018-02-01;8;8;7;6.7;8.0;5.7;5.1;8.4;1.8;68;60;74;4;4;4;0.3
2;2018-03-01;5;10;6;1.5;4.2;6.7;4.4;7.9;0.9;78;88;69;2;2;5;3.4
3;2018-04-01;6;9;10;7.2;9.1;6.8;8.1;9.6;6.5;62;56;70;4;3;1;6.4
4;2018-05-01;8;10;10;9.3;10.9;6.9;8.5;12.1;4.8;74;65;83;5;2;1;0
5;2018-06-01;8;10;10;2.8;7.1;6.8;5.3;8.4;2.2;97;90;94;2;2;1;0
6;2018-07-01;10;10;10;6.9;8.4;7.5;7.6;8.7;6.5;91;85;86;1;1;2;1.2
7;2018-08-01;10;10;10;5.5;5.1;4.2;5.9;7.5;4.2;98;98;98;2;2;2;1.7
8;2018-09-01;10;10;8;6.3;6.9;6.3;5.6;6.9;4.2;95;86;84;3;4;3;4.6
9;2018-10-01;10;10;10;4.2;3.5;3.9;4.9;6.5;3.2;96;96;96;3;2;1;7.6
10;2018-11-01;9;9;10;3.2;7.0;5.4;4.9;8.1;1.7;98;78;82;1;2;2;0
11;2018-12-01;10;10;10;5.2;5.3;;4.6;5.6;3.5;82;83;89;2;2;2;2.1
12;2018-01-13;10;10;10;1.0;0.8;1.3;2.2;3.6;0.7;90;96;96;2;2;3;1.6
13;2018-01-14;10;10;10;0.3;0.2;-0.3;0.6;1.4;-0.3;94;89;90;3;3;3;2.2
14;2018-01-15;2;9;10;-2.0;-0.4;-1.4;-0.8;0.8;-2.3;88;77;80;3;4;3;0
15;2018-01-16;10;10;10;-0.8;0.6;2.2;0.2;2.2;-1.8;91;91;94;3;2;2;1.8
16;2018-01-17;8;6;9;3.5;4.4;40.0;4.1;6.0;2.2;80;71;63;4;5;4;0.3
17;2018-01-18;2;9;3;2.2;5.2;4.0;3.5;5.6;1.4;70;65;68;4;3;1;1.3
18;2018-01-19;9;2;1;;;3.4;6.0;9.6;2.4;82;61;72;3;5;4;6.2
19;2018-01-20;10;9;7;1.3;5.3;1.8;2.9;5.7;0.0;92;65;83;1;3;2;0.6
20;2018-01-21;10;10;9;0.8;2.0;1.8;1.6;2.5;0.7;90;89;75;1;3;4;0.6
21;2018-01-22;9;9;10;-1.7;1.0;1.0;-0.2;1.8;-2.2;82;73;82;1;2;3;1.4
22;2018-01-23;8;10;9;3.5;5.6;5.3;3.2;5.9;0.4;83;79;80;4;3;2;Spuren
23;2018-01-24;9;10;1;4.2;6.1;2.6;4.4;6.2;2.6;85;85;92;1;2;1;1.4
24;2018-01-25;8;7;6;0.9;5.3;2.6;3.3;5.7;0.9;90;74;81;2;2;3;0
25;2018-01-26;10;10;10;0.7;2.3;1.9;1.6;2.6;0.6;95;84;90;1;2;2;Spuren
26;2018-01-27;10;10;10;2.1;2.8;3.2;2.8;3.7;1.9;89;78;78;2;2;2;0
27;2018-01-28;8;9;10;1.7;10.8;8.9;6.5;11.7;1.3;92;52;76;1;5;4;Spuren
28;2018-01-29;8;2;1;10.2;14.2;12.4;11.6;14.4;8.7;67;52;57;5;6;5;Spuren
29;2018-01-30;9;3;1;8.9;9.0;40.0;9.5;12.4;6.5;73;54;73;4;2;3;1.1
30;2018-01-31;10;2;1;1.4;9.4;3.8;5.4;10.0;0.7;93;63;83;0;2;2;0
31;2018-01-02;10;10;10;1.9;;;3.8;6.2;1.3;94;82;83;1;1;4;0.6
32;2018-02-02;9;10;8;3.7;5.4;4.0;4.6;5.5;3.6;76;63;64;2;3;2;Spuren
33;2018-03-02;9;10;9;3.1;4.0;3.0;3.5;4.4;2.5;64;69;75;3;3;3;Spuren
34;2018-04-02;7;7;0;2.0;3.2;0.0;2.5;5.0;0.0;78;72;85;3;3;1;Spuren
35;2018-05-02;1;7;10;-3.4;2.3;0.7;-0.5;2.6;-3.5;90;64;62;1;2;2;0
36;2018-06-02;10;10;10;-1.4;0.5;1.1;-0.3;1.1;-1.6;62;69;81;3;3;3;0
37;2018-07-02;10;10;10;-1.2;0.7;0.7;-0.2;1.2;-1.6;84;94;97;3;1;1;7.5
38;2018-08-02;10;10;9;1.3;1.5;1.1;1.1;1.6;0.6;85;81;79;3;4;3;Spuren
39;2018-09-02;10;9;9;0.2;2.1;0.2;1.5;2.8;0.1;78;67;76;2;2;2;0
40;2018-10-02;10;10;10;-0.5;40.0;-0.1;-0.1;0.4;-0.6;77;79;86;2;2;1;Spuren
41;2018-11-02;7;8;10;-0.7;5.9;3.0;2.5;6.1;-1.2;74;61;67;1;1;2;0.1
42;2018-12-02;9;10;10;3.6;;2.1;3.7;5.8;1.5;79;70;88;3;2;4;0.7
43;2018-02-13;9;10;10;0.6;1.2;1.1;1.5;2.4;0.5;77;85;82;3;3;3;1
44;2018-02-14;9;9;10;-0.2;2.5;0.5;1.5;3.3;-0.3;80;65;85;2;3;3;Spuren
45;2018-02-15;1;8;10;-1.5;3.7;1.6;1.2;3.9;-1.6;81;55;62;2;2;2;1.3
46;2018-02-16;10;9;7;0.4;4.8;;2.8;5.4;0.2;87;85;90;2;2;2;1.4
47;2018-02-17;10;10;10;-0.5;-0.3;0.6;0.8;2.1;-0.6;93;92;95;2;3;3;4.4
48;2018-02-18;10;10;9;0.7;2.5;1.6;1.7;3.0;0.4;93;77;71;2;2;2;0
49;2018-02-19;1;4;9;-4.7;3.7;0.3;-0.3;4.2;-4.7;92;56;75;1;3;2;1.7
50;2018-02-20;10;10;10;-1.5;0.3;-0.3;-0.4;0.8;-1.6;95;91;90;1;2;2;6.5
51;2018-02-21;10;10;10;-1.5;0.4;-1.2;-0.5;0.5;-1.5;83;69;80;3;3;3;0.2
52;2018-02-22;10;9;10;-1.1;1.3;-1.7;-0.1;1.6;-1.7;74;66;86;2;3;3;0.4
53;2018-02-23;10;9;10;-2.5;0.3;-1.5;-1.0;0.7;-2.6;77;69;72;2;3;2;Spuren
54;2018-02-24;2;9;8;-6.1;-1.0;-40.0;-3.0;0.3;-6.2;72;52;53;2;3;3;0
55;2018-02-25;1;6;0;-9.6;-5.1;-8.8;-6.5;-3.4;-9.6;70;52;58;3;3;3;0
56;2018-02-26;3;7;10;-12.0;-6.5;-8.0;-9.0;-5.9;-12.1;73;56;63;2;3;3;Spuren
57;2018-02-27;10;10;10;-10.6;-8.8;-9.5;-9.4;-8.0;-10.8;63;70;68;3;3;3;0.2
58;2018-02-28;8;4;0;-11.4;-7.0;-9.0;-8.9;-6.3;-11.4;68;53;63;2;3;2;0.2
59;2018-01-03;1;10;10;-11.3;;-7.0;-9.0;-5.5;-12.4;76;65;81;4;4;4;Spuren
60;2018-02-03;10;10;10;-6.6;-5.0;-5.0;-6.1;-4.8;-7.3;83;86;88;3;3;2;1
61;2018-03-03;10;10;9;;-1.6;-1.7;-2.9;-0.6;-5.2;71;47;50;2;2;2;0
62;2018-04-03;9;9;0;-7.2;2.1;-40.0;-2.3;2.7;-7.3;69;56;76;1;3;3;0
63;2018-05-03;10;10;10;-0.9;-0.2;-1.2;-0.7;0.1;-1.5;87;66;83;4;3;3;0.4
64;2018-06-03;10;10;8;0.2;1.3;1.4;0.4;1.9;-1.2;89;89;86;2;3;2;3.3
65;2018-07-03;10;9;4;0.3;12.2;5.5;6.0;12.6;-0.6;93;53;76;2;4;1;0.7
66;2018-08-03;9;5;1;5.4;10.6;4.9;8.2;11.8;4.5;73;50;66;4;3;2;0
67;2018-09-03;9;10;9;2.2;12.7;9.9;7.3;13.6;1.0;85;41;60;1;3;1;0.1
68;2018-10-03;9;8;8;4.5;14.2;10.1;9.3;14.2;4.4;86;50;69;1;2;1;0
69;2018-11-03;2;9;8;4.4;13.8;12.2;9.9;15.9;3.9;93;61;66;1;3;2;0.2
70;2018-12-03;7;9;9;10.5;13.1;10.1;12.7;15.5;9.9;81;66;88;2;4;2;2.2
71;2018-03-13;9;5;3;9.6;15.5;10.1;12.0;15.9;8.1;66;39;54;3;4;2;0
72;2018-03-14;8;10;9;7.6;8.9;7.0;8.6;10.1;7.0;73;63;76;3;3;2;0.3
73;2018-03-15;9;10;10;3.7;6.7;6.9;5.5;7.4;3.5;84;74;80;2;3;2;3.6
74;2018-03-16;10;9;9;7.2;9.8;8.2;8.5;10.6;6.3;95;83;88;1;3;2;7
75;2018-03-17;10;10;10;0.6;-0.1;-1.5;3.6;8.7;-1.5;81;92;87;3;2;2;4.1
76;2018-03-18;10;10;10;-4.8;-1.2;-40.0;-3.0;-1.1;-4.9;69;61;63;3;3;2;Spuren
77;2018-03-19;10;10;10;-5.7;-2.2;-2.9;-3.9;-1.9;-5.9;70;60;67;2;3;2;0.6
78;2018-03-20;10;10;8;-2.9;0.4;0.2;-1.3;1.0;-3.6;74;54;44;3;4;3;Spuren
79;2018-03-21;1;6;0;;4.4;2.3;1.6;5.4;-2.2;70;40;39;3;3;3;Spuren
80;2018-03-22;0;1;4;-3.0;7.1;2.8;2.5;9.0;-4.1;75;34;57;2;2;1;0
81;2018-03-23;10;9;10;2.4;6.8;5.2;4.1;7.4;0.8;75;64;72;2;3;3;0.4
82;2018-03-24;9;5;7;3.4;9.4;5.8;6.8;10.3;3.2;74;37;57;1;2;3;0
83;2018-03-25;1;7;4;0.8;6.1;3.4;3.4;6.6;0.2;84;55;64;3;3;3;0
84;2018-03-26;4;5;8;-0.6;8.2;6.4;4.2;9.8;-1.5;84;48;58;1;3;1;Spuren
85;2018-03-27;10;9;9;5.4;40.0;4.2;7.2;10.4;3.9;74;54;91;2;2;3;3.7
